"player_name","pitch_count","total_pitches","CH","CU","FC","FF","FS","SI","SL","ST","SV","KC","KN","CS","PO","rank_FF","rank_SL","rank_SI","rank_CH","rank_CU","rank_FC","rank_FS","rank_ST","rank_SV","rank_KC","cluster"
"Strider, Spencer",10,94,0.106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,166,80.5,82.5,88.5,86,90.5,87,1
"Strider, Spencer",56,94,0,0,0,0.595744680851064,0,0,0,0,0,0,0,0,0,178,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Strider, Spencer",1,94,0,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,73,79,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Strider, Spencer",27,94,0,0,0,0,0,0,0.287234042553192,0,0,0,0,0,0,73,171,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Valdez, Framber",15,83,0.180722891566265,0,0.180722891566265,0,0,0,0,0,0,0,0,0,0,73,79,77.5,173,80.5,175,88.5,86,90.5,87,1
"Valdez, Framber",24,83,0,0.289156626506024,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,181,82.5,88.5,86,90.5,87,2
"Valdez, Framber",29,83,0,0,0,0,0,0.349397590361446,0,0,0,0,0,0,0,73,79,178,75,80.5,82.5,88.5,86,90.5,87,4
"Verlander, Justin",5,94,0.0531914893617021,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,157,80.5,82.5,88.5,86,90.5,87,1
"Verlander, Justin",23,94,0,0.24468085106383,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,179,82.5,88.5,86,90.5,87,2
"Verlander, Justin",47,94,0,0,0,0.5,0,0,0,0,0,0,0,0,0,173.5,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Verlander, Justin",19,94,0,0,0,0,0,0,0.202127659574468,0,0,0,0,0,0,73,165,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Walker, Taijuan",15,106,0,0.141509433962264,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,173,82.5,88.5,86,90.5,87,2
"Walker, Taijuan",20,106,0,0,0.188679245283019,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,176,88.5,86,90.5,87,2
"Walker, Taijuan",21,106,0,0,0,0.19811320754717,0,0,0,0,0,0,0,0,0,152,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Walker, Taijuan",32,106,0,0,0,0,0.30188679245283,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,82.5,180,86,90.5,87,2
"Walker, Taijuan",17,106,0,0,0,0,0,0.160377358490566,0,0,0,0,0,0,0,73,79,165,75,80.5,82.5,88.5,86,90.5,87,4
